Sentence									
We had to wait for a table		we| had to| wait for a table							
There were empty tables		there| were| empty tables							
Went there with my wife		[subject missing]| went| there| with my wife							
There were many empty seats with no reservation sign		there| were| many empty seats with no reservation sign							
I went there with my wife		I| went| there| with my wife							
You could see many were empty		you| could see| many were empty	many| were| empty						
The tables had no reservation sign		the tables| had| no reservation sign							
What may be interesting to most is the worst service/attitude		what may be interesting to most| is| the worst service	what may be interesting to most| is| the worst attitude						
The service/attitude comes from the owners of this establishment		the service| comes| from the owners of this establishment	The service/attitude| comes| from the owners of this establishment						
The owners are rude		the owners| are| rude							
The worst service comes from the owners		the worst service| comes| from the owners							
We wasted 3 hours		we| wasted| 3 hours							
We were trapped in a table		we| were trapped| in a table							
We were waiting for food and drinks and hooka		we| were waiting| for fooda	we| were waiting| for drinks	we| were waiting| for hooka					
We never received some of them		we| never received| some of them							
We were trapped at a table		we| were trapped| at a table							
We waited and waited for food, drinks, and hooka		we| waited and waited| for food	we| waited and waited| for drinks	we| waited and waited| for hooka					
We never received some of the food, drinks, and hooka		we| never received| some of the food	we| never received| some of the drinks	we| never received| some of the hooka					
We did not receive some of the food		we| did not receive| some of the food							
We waited for food		we| waited| for food							
We waited for drinks		we| waited| for drinks							
We waited for the Hookah		we| waited| for the Hookah							
We wasted three hours there		we| wasted| three hours| there							
We waited a lot		we| waited| a lot							
We waited a long time		we| waited| a long time							
When asked how a certain dish was prepared		when| asked| how a certain dish was prepared							
He replied		he| replied							
Every place makes things differently		every place| makes| things differently							
How certain dish was prepared		how| was prepared| certain dish							
Every restaurant makes the food different		every restaurant| makes| the food different							
The food was not from McDonald's		the food| was not| from McDonald's							
We asked about how a certain dish was prepared in comparison to a similar at other thai restaurants		we| asked| about how a certain dish was prepared in comparison to a similar at other thai restaurants							
He replied this is not Mcdonald's		he| replied| this is not Mcdonald's	this| is not| Mcdonald's						
He gave family apps when they came in		he| gave| family| apps| when they came in							
The apps were to test their palets		the apps| were| to test their palets							
After the apps , he ordered for them		he| ordered| for them| after the apps							
The family came in		the family| came in							
He gave them apps to test their palets		he| gave| them| apps| to test their palets							
He ordered for them		he| ordered| for them							
His family came in		his family| came in							
Then he ordered for them		he| ordered| for them|then							
Service was devine		service| was| devine							
Oysters were as sensual as they come		oysters| were| as sensual as they come							
The price can't be beat		the price| can't be beat							
The oysters where a sensual as they come		the oysters| where| a sensual as they come							
Service was divine		service| was| devine							
The price can't be beat!!!		the price| can't be beat							
The place was packed when i got there		the place| was packed| when i got there	i| got| there						
They seated me quickly		they| seated| me| quickly							
The place was packed		the place| was| packed							
They sat me quickly		they| sat| me| quickly							
When I got there the place was packed		the place| was packed| when I got there	I| got| there						
They made sure to seat me quickly		they| made sure| to seat me quickly							
Service was good		service| was| good							
The food is wonderful		the food| is| wonderful							
Food is wonderful		food| is| wonderful							
The service is good		the service| is| good							
My dessert had a candle in it		my dessert| had| a candle in it							
I didn't ask for a candle		I| didn't ask| for a candle							
The waiter saw me with my birthday card		the waiter| saw| me| with my birthday card							
The waiter saw me with my gift		the waiter| saw| me| with my gift							
The waiter said he knew it was a special occasion		the waiter| said| he knew it was a special occasion	he| knew| it was a special occasion	it| was| a special occasion					
When my dessert came there was a candle in it		there| was| a candle in it| when my dessert came	my dessert| came						
No one asked for a candle		no one| asked| for a candle							
The waiter must have seen me opening my birthday card		the waiter| must have seen| me| opening my birthday card							
The waiter must have seen me opening my birthday gift		the waiter| must have seen| me| opening my birthday gift							
The waiter said he knew it was a special occasion of some sort		the waiter| said| he knew it was a special occasion of some sort	he| knew| it was a special occasion of some sort	it| was| a special occasion of some sort					
No one asked for it		no one| asked| for it							
I opened my birthday card		I| opened| my birthday card							
I opened my gift		I| opened| my gift							
The waiter must have seen me		the waiter| must have seen| me							
The service was ok		the service| was| ok							
For $500 you expect more service		you| expect| more service| for $500							
Service was ok		service| was| ok							
You wouldn't expect it for $500		you| wouldn't expect| it| for $500							
The bill came		the bill| came							
He only discounted the food		he| only discounted| the food							
He didn't discount the drinks		he| didn't discount| the drinks							
When the bill came, he only took the discount off the food		he| only took| the discount off the food| when the bill came	the bill| came						
When the bill came, he didn' took the drinks		he| didn' took| the drinks| when the bill came	the bill| came						
He took the discount		he| took| the discount							
Service was kind of slow		service| was| kind of slow							
Our waitress took forever to give us our check		our waitress| took forever| to give us our check							
