Sentence								
The place was packed when i got there	the place| was| packed	i| got| there						
They seated me quickly	they| seated| me| quickly							
The place was packed	the place| was| packed							
They sat me quickly	they| sat| me| quickly							
When I got there the place was packed	I| got| there	the place| was| packed						
They made sure to seat me quickly	they| made sure| to seat me quickly							
Service was good	service| was| good							
The food is wonderful	the food| is| wonderful							
Food is wonderful	food| is| wonderful							
The service is good	the service| is| good							
My dessert had a candle in it	my dessert| had| a candle in it							
I didn't ask for a candle	I| didn't ask for| a candle							
The waiter saw me with my birthday card	the waiter| saw| me with my birthday card							
The waiter saw me with my gift	the waiter| saw| me with my gift							
The waiter said he knew it was a special occasion	the waiter| said| he knew it was a special occasion	he| knew| it was a special occasion	it| was| a special occasion					
When my dessert came there was a candle in it	my dessert| came	there| was| a candle in it						
No one asked for a candle	no one| asked for| a candle							
The waiter must have seen me opening my birthday card	the waiter| must have seen| me opening my birthday card							
The waiter must have seen me opening my birthday gift	the waiter| must have seen| me opening my birthday gift							
The waiter said he knew it was a special occasion of some sort	the waiter| said| he knew it was a special occasion of some sort	he| knew| it was a special occasion of some sort	it| was| a special occasion of some sort					
No one asked for it	no one| asked for| it							
I opened my birthday card	I| opened| my birthday card							
I opened my gift	I| opened| my gift							
The waiter must have seen me	the waiter| must have seen| me							
The service was ok	the service| was| ok							
For $500 you expect more service	you| expect| more service| for $500							
Service was ok	service| was| ok							
The bill came	the bill| came							
He only discounted the food	he| discounted| the food| only							
He didn't discount the drinks	he| didn't discount| the drinks							
When the bill came, he only took the discount off the food	the bill| came	he| took| the discount off the food| only						
When the bill came, he didn' took the drinks	the bill| came	he| didn' took| the drinks						
He took the discount	he| took| the discount							
Service was kind of slow	service| was| kind of slow							
Our waitress took forever to give us our check	our waitress| took forever| to give us our check							
It wasn't that busy	it| wasn't| that busy							
The service was slow	the service| was| slow							
When the bill came, nothing was comped	the bill| came	nothing| was| comped						
I told the manager very politely that we were willing to pay for the wine	I| told| the manager| very politely| that we were willing to pay for the wine	we| were willing| to pay for the wine						
